municipality_id,district_id,municipality,district,project_name,project_num,project_id,supply_demand_year,typology,layout,total_supply,total_demand,occupancy_rate,SHAPE_Length,SHAPE_Area
41,57,Abu Dhabi City,AL REEM ISLAND,Radiant Marina Towers,20240000345024,2237,2028,All property types,3 beds,28,,0.000000000000000,477.621438096780935,10582.980957292680614
41,57,Abu Dhabi City,AL REEM ISLAND,Radiant Marina Towers,20240000345024,2237,2028,All property types,1 bed,341,,0.000000000000000,477.621438096780935,10582.980957292680614
41,57,Abu Dhabi City,AL REEM ISLAND,Radiant Marina Towers,20240000345024,2237,2028,All property types,2 beds,35,,0.000000000000000,477.621438096780935,10582.980957292680614
41,57,Abu Dhabi City,AL REEM ISLAND,Radiant Marina Towers,20240000345024,2237,2028,All property types,All beds,619,,0.000000000000000,477.621438096780935,10582.980957292680614
41,57,Abu Dhabi City,AL REEM ISLAND,Radiant Marina Towers,20240000345024,2237,2028,All property types,Studio,215,,0.000000000000000,477.621438096780935,10582.980957292680614
41,57,Abu Dhabi City,AL REEM ISLAND,Radiant Marina Towers,20240000345024,2237,2028,Apartment / Duplex,Studio,215,,0.000000000000000,477.621438096780935,10582.980957292680614
41,57,Abu Dhabi City,AL REEM ISLAND,Radiant Marina Towers,20240000345024,2237,2028,Apartment / Duplex,3 beds,28,,0.000000000000000,477.621438096780935,10582.980957292680614
41,57,Abu Dhabi City,AL REEM ISLAND,Radiant Marina Towers,20240000345024,2237,2028,Apartment / Duplex,1 bed,341,,0.000000000000000,477.621438096780935,10582.980957292680614
41,57,Abu Dhabi City,AL REEM ISLAND,Radiant Marina Towers,20240000345024,2237,2028,Apartment / Duplex,2 beds,35,,0.000000000000000,477.621438096780935,10582.980957292680614
41,57,Abu Dhabi City,AL REEM ISLAND,Radiant Marina Towers,20240000345024,2237,2028,Apartment / Duplex,All beds,619,,0.000000000000000,477.621438096780935,10582.980957292680614
41,57,Abu Dhabi City,AL REEM ISLAND,RIVAGE,20240000322292,2230,2028,All property types,1 bed,179,,0.000000000000000,331.014485558432909,6029.511077197299528
41,57,Abu Dhabi City,AL REEM ISLAND,RIVAGE,20240000322292,2230,2028,Apartment / Duplex,1 bed,179,,0.000000000000000,331.014485558432909,6029.511077197299528
41,57,Abu Dhabi City,AL REEM ISLAND,RIVAGE,20240000322292,2230,2028,All property types,4 beds,3,,0.000000000000000,331.014485558432909,6029.511077197299528
41,57,Abu Dhabi City,AL REEM ISLAND,RIVAGE,20240000322292,2230,2028,All property types,2 beds,134,,0.000000000000000,331.014485558432909,6029.511077197299528
41,57,Abu Dhabi City,AL REEM ISLAND,RIVAGE,20240000322292,2230,2028,All property types,5 beds,1,,0.000000000000000,331.014485558432909,6029.511077197299528
41,57,Abu Dhabi City,AL REEM ISLAND,RIVAGE,20240000322292,2230,2028,Apartment / Duplex,2 beds,134,,0.000000000000000,331.014485558432909,6029.511077197299528
41,57,Abu Dhabi City,AL REEM ISLAND,RIVAGE,20240000322292,2230,2028,Apartment / Duplex,5 beds,1,,0.000000000000000,331.014485558432909,6029.511077197299528
41,57,Abu Dhabi City,AL REEM ISLAND,RIVAGE,20240000322292,2230,2028,All property types,3 beds,47,,0.000000000000000,331.014485558432909,6029.511077197299528
41,57,Abu Dhabi City,AL REEM ISLAND,RIVAGE,20240000322292,2230,2028,All property types,All beds,364,,0.000000000000000,331.014485558432909,6029.511077197299528
41,57,Abu Dhabi City,AL REEM ISLAND,RIVAGE,20240000322292,2230,2028,Apartment / Duplex,4 beds,3,,0.000000000000000,331.014485558432909,6029.511077197299528
41,57,Abu Dhabi City,AL REEM ISLAND,RIVAGE,20240000322292,2230,2028,Apartment / Duplex,All beds,364,,0.000000000000000,331.014485558432909,6029.511077197299528
41,57,Abu Dhabi City,AL REEM ISLAND,RIVAGE,20240000322292,2230,2028,Apartment / Duplex,3 beds,47,,0.000000000000000,331.014485558432909,6029.511077197299528
41,57,Abu Dhabi City,AL REEM ISLAND,Reem Eleven,20240000297668,2225,2028,All property types,All beds,148,,0.000000000000000,219.939798888175176,3223.753938494230624
41,57,Abu Dhabi City,AL REEM ISLAND,Reem Eleven,20240000297668,2225,2028,Apartment / Duplex,2 beds,55,,0.000000000000000,219.939798888175176,3223.753938494230624
41,57,Abu Dhabi City,AL REEM ISLAND,Reem Eleven,20240000297668,2225,2028,All property types,2 beds,55,,0.000000000000000,219.939798888175176,3223.753938494230624
41,57,Abu Dhabi City,AL REEM ISLAND,Reem Eleven,20240000297668,2225,2028,All property types,1 bed,19,,0.000000000000000,219.939798888175176,3223.753938494230624
41,57,Abu Dhabi City,AL REEM ISLAND,Reem Eleven,20240000297668,2225,2028,Apartment / Duplex,3 beds,56,,0.000000000000000,219.939798888175176,3223.753938494230624
41,57,Abu Dhabi City,AL REEM ISLAND,Reem Eleven,20240000297668,2225,2028,Apartment / Duplex,All beds,148,,0.000000000000000,219.939798888175176,3223.753938494230624
41,57,Abu Dhabi City,AL REEM ISLAND,Reem Eleven,20240000297668,2225,2028,All property types,3 beds,56,,0.000000000000000,219.939798888175176,3223.753938494230624
41,57,Abu Dhabi City,AL REEM ISLAND,Reem Eleven,20240000297668,2225,2028,Apartment / Duplex,Studio,18,,0.000000000000000,219.939798888175176,3223.753938494230624
41,57,Abu Dhabi City,AL REEM ISLAND,Reem Eleven,20240000297668,2225,2028,All property types,Studio,18,,0.000000000000000,219.939798888175176,3223.753938494230624
41,57,Abu Dhabi City,AL REEM ISLAND,Reem Eleven,20240000297668,2225,2028,Apartment / Duplex,1 bed,19,,0.000000000000000,219.939798888175176,3223.753938494230624
41,1330,Abu Dhabi City,YAS ISLAND,Yas Riva,20240000268328,2224,2028,All property types,6 beds,49,,0.000000000000000,4071.045572268905744,710762.142705376958475
41,1330,Abu Dhabi City,YAS ISLAND,Yas Riva,20240000268328,2224,2028,All property types,4 beds,40,,0.000000000000000,4071.045572268905744,710762.142705376958475
41,1330,Abu Dhabi City,YAS ISLAND,Yas Riva,20240000268328,2224,2028,All property types,All beds,147,,0.000000000000000,4071.045572268905744,710762.142705376958475
41,1330,Abu Dhabi City,YAS ISLAND,Yas Riva,20240000268328,2224,2028,All property types,5 beds,58,,0.000000000000000,4071.045572268905744,710762.142705376958475
41,1330,Abu Dhabi City,YAS ISLAND,Yas Riva,20240000268328,2224,2028,Villa / Townhouse,All beds,147,,0.000000000000000,4071.045572268905744,710762.142705376958475
41,1330,Abu Dhabi City,YAS ISLAND,Yas Riva,20240000268328,2224,2028,Villa / Townhouse,5 beds,58,,0.000000000000000,4071.045572268905744,710762.142705376958475
41,1330,Abu Dhabi City,YAS ISLAND,Yas Riva,20240000268328,2224,2028,Villa / Townhouse,4 beds,40,,0.000000000000000,4071.045572268905744,710762.142705376958475
41,1330,Abu Dhabi City,YAS ISLAND,Yas Riva,20240000268328,2224,2028,Villa / Townhouse,6 beds,49,,0.000000000000000,4071.045572268905744,710762.142705376958475
41,57,Abu Dhabi City,AL REEM ISLAND,Canal by M,20240000278350,2221,2026,All property types,2 beds,20,,0.000000000000000,174.663087789653559,1886.455241517330478
41,57,Abu Dhabi City,AL REEM ISLAND,Canal by M,20240000278350,2221,2026,All property types,All beds,31,,0.000000000000000,174.663087789653559,1886.455241517330478
41,57,Abu Dhabi City,AL REEM ISLAND,Canal by M,20240000278350,2221,2026,Apartment / Duplex,3 beds,8,,0.000000000000000,174.663087789653559,1886.455241517330478
41,57,Abu Dhabi City,AL REEM ISLAND,Canal by M,20240000278350,2221,2026,All property types,4 beds,1,,0.000000000000000,174.663087789653559,1886.455241517330478
41,57,Abu Dhabi City,AL REEM ISLAND,Canal by M,20240000278350,2221,2026,All property types,3 beds,10,,0.000000000000000,174.663087789653559,1886.455241517330478
41,57,Abu Dhabi City,AL REEM ISLAND,Canal by M,20240000278350,2221,2026,Villa / Townhouse,3 beds,2,,0.000000000000000,174.663087789653559,1886.455241517330478
41,57,Abu Dhabi City,AL REEM ISLAND,Canal by M,20240000278350,2221,2027,All property types,All beds,31,,0.000000000000000,174.663087789653559,1886.455241517330478
41,57,Abu Dhabi City,AL REEM ISLAND,Canal by M,20240000278350,2221,2026,Apartment / Duplex,2 beds,20,,0.000000000000000,174.663087789653559,1886.455241517330478
41,57,Abu Dhabi City,AL REEM ISLAND,Canal by M,20240000278350,2221,2026,Apartment / Duplex,4 beds,1,,0.000000000000000,174.663087789653559,1886.455241517330478
41,57,Abu Dhabi City,AL REEM ISLAND,Canal by M,20240000278350,2221,2027,All property types,2 beds,20,,0.000000000000000,174.663087789653559,1886.455241517330478
41,57,Abu Dhabi City,AL REEM ISLAND,Canal by M,20240000278350,2221,2027,Villa / Townhouse,3 beds,2,,0.000000000000000,174.663087789653559,1886.455241517330478
41,57,Abu Dhabi City,AL REEM ISLAND,Canal by M,20240000278350,2221,2026,Villa / Townhouse,All beds,2,,0.000000000000000,174.663087789653559,1886.455241517330478
